species,circRNA name,Position,Function,Gene,Gene Description,PMID
Mus musculus,mmu_circRNA_002319,chr9:21569454-21575518,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Carm1,coactivator-associated arginine methyltransferase 1,27677588
Mus musculus,mmu_circRNA_002457,chr5:65565988-65594548,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Ube2k,ubiquitin-conjugating enzyme E2K,27677588
Mus musculus,mmu_circRNA_002523,chr2:120533510-120535679,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Zfp106,zinc finger protein 106,27677588
Mus musculus,mmu_circRNA_002581,chr5:66362717-66365120,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Apbb2,"amyloid beta (A4) precursor protein-binding, family B, member 2",27677588
Mus musculus,mmu_circRNA_002613,chr11:98157800-98157904,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Med1,mediator complex subunit 1,27677588
Mus musculus,mmu_circRNA_002664,-,Poststroke pathophysiology [differential expression (3 time points of reperfusion after transient middle cerebral artery occlusion compared with sham)],Fam49b,"family with sequence similarity 49, member B",28701578
Mus musculus,mmu_circRNA_002987,-,Colitis-induced colon carcinoma [differential expression (colitis-induced colon carcinoma vs controls)],Sema3f,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F",30182433
Mus musculus,mmu_circRNA_002989,chr17:39845153-39845215,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Gm26917,-,27677588
Mus musculus,mmu_circRNA_003022,chr18:78856483-78859931,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Setbp1,SET binding protein 1,27677588
Mus musculus,mmu_circRNA_003024,-,Myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)],-,-,28412345
Mus musculus,mmu_circRNA_003037,-,Colitis-induced colon carcinoma [differential expression (colitis-induced colon carcinoma vs controls)],Heph,hephaestin,30182433
Mus musculus,mmu_circRNA_003160,chr17:39845455-39845565,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],XLOC_010800,-,27677588
Mus musculus,mmu_circRNA_003215,chr6:116042870-116043805,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Tmcc1,transmembrane and coiled coil domains 1,27677588
Mus musculus,mmu_circRNA_003597,-,Myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)],-,-,28412345
Mus musculus,mmu_circRNA_003880,-,Myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)],-,-,28412345
Mus musculus,mmu_circRNA_003933,chr3:108554603-108554694,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Scarna2,small Cajal body-specific RNA 2,27677588
Mus musculus,mmu_circRNA_004300,chr19:5796192-5796279,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Malat1,metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA),27677588
Mus musculus,mmu_circRNA_004507,chr7:142651103-142651166,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Igf2,insulin-like growth factor 2,27677588
Mus musculus,mmu_circRNA_004772,chr14:77365025-77380688,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Enox1,ecto-NOX disulfide-thiol exchanger 1,27677588
Mus musculus,mmu_circRNA_004900,chr2:139996072-140057499,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Tasp1,"taspase, threonine aspartase 1",27677588
Mus musculus,mmu_circRNA_005039,chr3:51308049-51326035,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Elf2,E74-like factor 2,27677588
Mus musculus,mmu_circRNA_005046,-,Myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)],-,-,28412345
Mus musculus,mmu_circRNA_005214,-,Myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)],-,-,28412345
Mus musculus,mmu_circRNA_005219,chr10:79710306-79710365,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Bsg,basigin,27677588
Mus musculus,mmu_circRNA_005305,chr14:47016276-47016795,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Samd4,sterile alpha motif domain containing 4,27677588
Mus musculus,mmu_circRNA_005444,chr17:39845363-39845455,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],XLOC_010800,-,27677588
Mus musculus,mmu_circRNA_005749,chr8:123382526-123383443,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Tcf25,transcription factor 25 (basic helix-loop-helix),27677588
Mus musculus,mmu_circRNA_005985,chr11:50296198-50296265,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Canx,calnexin,27677588
Mus musculus,mmu_circRNA_005995,chr1:74967499-74968912,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Nhej1,nonhomologous end-joining factor 1,27677588
Mus musculus,mmu_circRNA_006032,chr17:39845455-39845525,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],XLOC_010800,-,27677588
Mus musculus,mmu_circRNA_006096,chr17:24091420-24111117,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Pdpk1,3-phosphoinositide dependent protein kinase 1,27677588
Mus musculus,mmu_circRNA_006147,-,Myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)],-,-,28412345
Mus musculus,mmu_circRNA_006173,chr12:76938186-76938246,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)]; myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)],Max,Max protein,27677588;28412345
Mus musculus,mmu_circRNA_006562,chr10:128585091-128586211,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Erbb3,erb-b2 receptor tyrosine kinase 3,27677588
Mus musculus,mmu_circRNA_006664,chr14:50807650-50807769,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Rpph1,ribonuclease P RNA component H1,27677588
Mus musculus,mmu_circRNA_006696,-,Poststroke pathophysiology [differential expression (3 time points of reperfusion after transient middle cerebral artery occlusion compared with sham)],Strn3,"striatin, calmodulin binding protein 3",28701578
Mus musculus,mmu_circRNA_006839,-,Poststroke pathophysiology [differential expression (3 time points of reperfusion after transient middle cerebral artery occlusion compared with sham)],Crim1,cysteine rich transmembrane BMP regulator 1,28701578
Mus musculus,mmu_circRNA_006982,chr3:123601440-123634340,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Ndst3,N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3,27677588
Mus musculus,mmu_circRNA_007066,chr7:19697495-19697627,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Apoe,apolipoprotein E,27677588
Mus musculus,mmu_circRNA_007094,-,Oxygen-glucose deprivation/reoxygenation (OGD/R)-induced neuron injury [differential expression (OGD/R model vs. control group)],-,-,26845359
Mus musculus,mmu_circRNA_007152,chr4:139388367-139406648,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Ubr4,ubiquitin protein ligase E3 component n-recognin 4,27677588
Mus musculus,mmu_circRNA_007325,chr14:72563483-72584844,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Fndc3a,fibronectin type III domain containing 3A,27677588
Mus musculus,mmu_circRNA_007362,-,Poststroke pathophysiology [differential expression (3 time points of reperfusion after transient middle cerebral artery occlusion compared with sham)],Ccdc6,coiled-coil domain containing 6,28701578
Mus musculus,mmu_circRNA_007370,-,Myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)],-,-,28412345
Mus musculus,mmu_circRNA_007507,chr7:80097803-80097873,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Idh2,"isocitrate dehydrogenase 2 (NADP+), mitochondrial",27677588
Mus musculus,mmu_circRNA_007560,-,Oxygen-glucose deprivation/reoxygenation (OGD/R)-induced neuron injury [differential expression (OGD/R model vs. control group)],-,-,26845359
Mus musculus,mmu_circRNA_007585,chr2:91805023-91825352,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)]; myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)],Ambra1,autophagy/beclin 1 regulator 1,27677588;28412345
Mus musculus,mmu_circRNA_007599,-,Myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)],-,-,28412345
Mus musculus,mmu_circRNA_007635,chr1:183335966-183336029,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Mia3,melanoma inhibitory activity 3,27677588
Mus musculus,mmu_circRNA_007653,chr9:20891082-20891206,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Ppan,peter pan homolog (Drosophila),27677588
Mus musculus,mmu_circRNA_007687,chr11:107592705-107649340,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)]; myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)],Helz,helicase with zinc finger domain,27677588;28412345
Mus musculus,mmu_circRNA_007731,chr15:81382979-81392322,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],St13,suppression of tumorigenicity 13,27677588
Mus musculus,mmu_circRNA_007907,chr4:43492929-43493057,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Rmrp,RNA component of mitochondrial RNAase P,27677588
Mus musculus,mmu_circRNA_007951,chr8:84000184-84000254,Oxygen-glucose deprivation/reoxygenation (OGD/R)-induced neuron injury [differential expression (OGD/R model vs. control group)]; nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Samd1,sterile alpha motif domain containing 1,26845359;27677588
Mus musculus,mmu_circRNA_008018,-,Poststroke pathophysiology [differential expression (3 time points of reperfusion after transient middle cerebral artery occlusion compared with sham)],Pum1,pumilio RNA-binding family member 1,28701578
Mus musculus,mmu_circRNA_008154,chr7:27310180-27310787,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Ltbp4,latent transforming growth factor beta binding protein 4,27677588
Mus musculus,mmu_circRNA_008472,chr1:195018600-195024406,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],A330023F24Rik,RIKEN cDNA A330023F24 gene,27677588
Mus musculus,mmu_circRNA_008488,chr12:51772273-51772705,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Hectd1,HECT domain E3 ubiquitin protein ligase 1,27677588
Mus musculus,mmu_circRNA_008647,chr4:109083088-109102592,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Osbpl9,oxysterol binding protein-like 9,27677588
Mus musculus,mmu_circRNA_008758,chr17:39845119-39845201,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Rn45s,45S pre-ribosomal RNA,27677588
Mus musculus,mmu_circRNA_008777,chr11:6311008-6317080,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Ogdh,oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide),27677588
Mus musculus,mmu_circRNA_008902,chr6:37353556-37364143,Response to pressure overload in heart [differential expression (mice subjected to pressure overload)]; nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Creb3l2,cAMP responsive element binding protein 3-like 2,27476877;27677588
Mus musculus,mmu_circRNA_009050,chr14:29055886-29062540,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Cacna2d3,"calcium channel, voltage-dependent, alpha2/delta subunit 3",27677588
Mus musculus,mmu_circRNA_009129,chr9:45972941-45978729,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Pafah1b2,"platelet-activating factor acetylhydrolase, isoform 1b, subunit 2",27677588
Mus musculus,mmu_circRNA_009295,chr1:165478220-165479578,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Mpc2,mitochondrial pyruvate carrier 2,27677588
Mus musculus,mmu_circRNA_009326,chr4:9281387-9350821,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Clvs1,clavesin 1,27677588
Mus musculus,mmu_circRNA_009340,chr13:23739295-23739355,Oxygen-glucose deprivation/reoxygenation (OGD/R)-induced neuron injury [differential expression (OGD/R model vs. control group)]; nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Hist1h1c,"histone cluster 1, H1c",26845359;27677588
Mus musculus,mmu_circRNA_009370,chr17:39844697-39845062,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Rn45s,45S pre-ribosomal RNA,27677588
Mus musculus,mmu_circRNA_009396,-,Poststroke pathophysiology [differential expression (3 time points of reperfusion after transient middle cerebral artery occlusion compared with sham)],Mkln1,"muskelin 1, intracellular mediator containing kelch motifs",28701578
Mus musculus,mmu_circRNA_009629,chr9:83988775-84012619,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Bckdhb,"branched chain ketoacid dehydrogenase E1, beta polypeptide",27677588
Mus musculus,mmu_circRNA_009782,chr10:90069467-90163304,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Anks1b,ankyrin repeat and sterile alpha motif domain containing 1B,27677588
Mus musculus,mmu_circRNA_010147,-,Myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)],-,-,28412345
Mus musculus,mmu_circRNA_010239,chr13:93341755-93356079,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Homer1,homer scaffolding protein 1,27677588
Mus musculus,mmu_circRNA_010308,chr18:16640421-16650498,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Cdh2,cadherin 2,27677588
Mus musculus,mmu_circRNA_010383,-,Poststroke pathophysiology [differential expression (3 time points of reperfusion after transient middle cerebral artery occlusion compared with sham)],Akap7,A kinase (PRKA) anchor protein 7,28701578
Mus musculus,mmu_circRNA_010432,-,Myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)],-,-,28412345
Mus musculus,mmu_circRNA_010484,chr6:88355482-88358642,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Eefsec,"eukaryotic elongation factor, selenocysteine-tRNA-specific",27677588
Mus musculus,mmu_circRNA_010546,chr1:36143518-36143600,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Uggt1,UDP-glucose glycoprotein glucosyltransferase 1,27677588
Mus musculus,mmu_circRNA_010567,-,circRNA_010567 promotes myocardial fibrosis via suppressing miR-141 by targeting TGF-beta1.,-,-,28412345
Mus musculus,mmu_circRNA_010658,chr17:39845378-39845558,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Rn45s,45S pre-ribosomal RNA,27677588
Mus musculus,mmu_circRNA_010749,chr17:39844697-39844867,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Rn45s,45S pre-ribosomal RNA,27677588
Mus musculus,mmu_circRNA_011064,-,Oxygen-glucose deprivation/reoxygenation (OGD/R)-induced neuron injury [differential expression (OGD/R model vs. control group)],-,-,26845359
Mus musculus,mmu_circRNA_011174,chr17:39846503-39846663,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],XLOC_010800,-,27677588
Mus musculus,mmu_circRNA_011235,chr15:62107147-62107465,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Pvt1,plasmacytoma variant translocation 1,27677588
Mus musculus,mmu_circRNA_011381,chr11:11932646-11932697,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)]; poststroke pathophysiology [differential expression (3 time points of reperfusion after transient middle cerebral artery occlusion compared with sham)],Grb10,growth factor receptor bound protein 10,27677588;28701578
Mus musculus,mmu_circRNA_011516,-,Myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)],-,-,28412345
Mus musculus,mmu_circRNA_011728,chr19:5796518-5796569,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Malat1,metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA),27677588
Mus musculus,mmu_circRNA_011775,chr17:39847505-39847620,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Rn45s,45S pre-ribosomal RNA,27677588
Mus musculus,mmu_circRNA_011883,chr4:43492828-43492902,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Ccdc107,coiled-coil domain containing 107,27677588
Mus musculus,mmu_circRNA_012164,chr13:23739382-23739448,Oxygen-glucose deprivation/reoxygenation (OGD/R)-induced neuron injury [differential expression (OGD/R model vs. control group)]; nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Hist1h1c,"histone cluster 1, H1c",26845359;27677588
Mus musculus,mmu_circRNA_012199,chr4:117564620-117615241,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Eri3,exoribonuclease 3,27677588
Mus musculus,mmu_circRNA_012342,chr14:50807499-50807650,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Rpph1,ribonuclease P RNA component H1,27677588
Mus musculus,mmu_circRNA_012380,-,Myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)],-,-,28412345
Mus musculus,mmu_circRNA_012381,-,Oxygen-glucose deprivation/reoxygenation (OGD/R)-induced neuron injury [differential expression (OGD/R model vs. control group)],-,-,26845359
Mus musculus,mmu_circRNA_012412,chr17:39845057-39845140,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Rn45s,45S pre-ribosomal RNA,27677588
Mus musculus,mmu_circRNA_012933,chr11:75491961-75492037,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Prpf8,pre-mRNA processing factor 8,27677588
Mus musculus,mmu_circRNA_012978,chr17:24624819-24625014,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Tsc2,tuberous sclerosis 2,27677588
Mus musculus,mmu_circRNA_013120,-,Pathological development of brain injury after stroke [differential expression (ischemic brain vs. sham group)],-,-,29156814
Mus musculus,mmu_circRNA_013447,chr13:23739397-23739448,Oxygen-glucose deprivation/reoxygenation (OGD/R)-induced neuron injury [differential expression (OGD/R model vs. control group)]; nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Hist1h1c,"histone cluster 1, H1c",26845359;27677588
Mus musculus,mmu_circRNA_013565,chr15:89084808-89084882,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Trabd,TraB domain containing,27677588
Mus musculus,mmu_circRNA_013874,chr17:39845119-39845378,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Rn45s,45S pre-ribosomal RNA,27677588
Mus musculus,mmu_circRNA_013885,chr17:39845288-39845357,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Gm26917,-,27677588
Mus musculus,mmu_circRNA_013935,chr19:4784723-4785567,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Gm21992,predicted gene 21992,27677588
Mus musculus,mmu_circRNA_014147,chr10:128441873-128441963,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],-,-,27677588
Mus musculus,mmu_circRNA_014151,chr12:111321521-111321572,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Cdc42bpb,CDC42 binding protein kinase beta,27677588
Mus musculus,mmu_circRNA_014193,-,Myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)],-,-,28412345
Mus musculus,mmu_circRNA_014199,chr2:25570017-25570112,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Mamdc4,MAM domain containing 4,27677588
Mus musculus,mmu_circRNA_014320,chr17:39844161-39844293,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],XLOC_010800,-,27677588
Mus musculus,mmu_circRNA_014395,chr17:39845288-39845378,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Gm26917,-,27677588
Mus musculus,mmu_circRNA_014483,-,Myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)],-,-,28412345
Mus musculus,mmu_circRNA_014539,chr7:110027070-110031766,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Ipo7,importin 7,27677588
Mus musculus,mmu_circRNA_014721,chr5:73101453-73112852,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Fryl,FRY like transcription coactivator,27677588
Mus musculus,mmu_circRNA_014903,chr17:39845363-39845422,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],XLOC_010800,-,27677588
Mus musculus,mmu_circRNA_014961,-,Myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)],-,-,28412345
Mus musculus,mmu_circRNA_015101,chr11:50299128-50301054,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Canx,calnexin,27677588
Mus musculus,mmu_circRNA_015102,chr11:50307469-50310867,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Canx,calnexin,27677588
Mus musculus,mmu_circRNA_015184,chr5:115440484-115441445,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Msi1,musashi RNA-binding protein 1,27677588
Mus musculus,mmu_circRNA_015214,chr17:39845455-39845519,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],XLOC_010800,-,27677588
Mus musculus,mmu_circRNA_015273,chr17:39845502-39845553,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Rn45s,45S pre-ribosomal RNA,27677588
Mus musculus,mmu_circRNA_015350,-,Myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)]; poststroke pathophysiology [differential expression (3 time points of reperfusion after transient middle cerebral artery occlusion compared with sham)],Ncoa2,nuclear receptor coactivator 2,28412345;28701578
Mus musculus,mmu_circRNA_015487,-,Myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)],-,-,28412345
Mus musculus,mmu_circRNA_015633,chr13:23551474-23581741,Oxygen-glucose deprivation/reoxygenation (OGD/R)-induced neuron injury [differential expression (OGD/R model vs. control group)]; nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Hist1h4f,"histone cluster 1, H4f",26845359;27677588
Mus musculus,mmu_circRNA_015690,-,Oxygen-glucose deprivation/reoxygenation (OGD/R)-induced neuron injury [differential expression (OGD/R model vs. control group)],-,-,26845359
Mus musculus,mmu_circRNA_015798,chr17:39845117-39845219,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Rn45s,45S pre-ribosomal RNA,27677588
Mus musculus,mmu_circRNA_015947,-,Oxygen-glucose deprivation/reoxygenation (OGD/R)-induced neuron injury [differential expression (OGD/R model vs. control group)],-,-,26845359
Mus musculus,mmu_circRNA_016128,-,Myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)]; poststroke pathophysiology [differential expression (3 time points of reperfusion after transient middle cerebral artery occlusion compared with sham)],Nars2,asparaginyl-tRNA synthetase 2,28412345;28701578
Mus musculus,mmu_circRNA_016157,chr7:102023311-102023413,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Rnf121,ring finger protein 121,27677588
Mus musculus,mmu_circRNA_016182,chr9:80087429-80103764,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Senp6,SUMO/sentrin specific peptidase 6,27677588
Mus musculus,mmu_circRNA_016208,chr11:75264756-75266364,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Rtn4rl1,reticulon 4 receptor-like 1,27677588
Mus musculus,mmu_circRNA_016289,-,Poststroke pathophysiology [differential expression (3 time points of reperfusion after transient middle cerebral artery occlusion compared with sham)],Cd81,CD81 antigen,28701578
Mus musculus,mmu_circRNA_016423,-,Poststroke pathophysiology [differential expression (3 time points of reperfusion after transient middle cerebral artery occlusion compared with sham)],Plcl2,phospholipase C-like 2,28701578
Mus musculus,mmu_circRNA_016648,chr6:4531253-4531343,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Col1a2,"collagen, type I, alpha 2",27677588
Mus musculus,mmu_circRNA_016692,chr8:3202889-3211700,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Insr,insulin receptor,27677588
Mus musculus,mmu_circRNA_016702,chr4:9583811-9610938,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Asph,aspartate-beta-hydroxylase,27677588
Mus musculus,mmu_circRNA_016723,chr2:13574333-13574435,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)]; myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)],Vim,vimentin,27677588;28412345
Mus musculus,mmu_circRNA_016771,-,Myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)],-,-,28412345
Mus musculus,mmu_circRNA_016772,chrX:48370804-48370937,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Bcorl1,BCL6 co-repressor-like 1,27677588
Mus musculus,mmu_circRNA_016779,chr9:108714272-108733263,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Prkar2a,"protein kinase, cAMP dependent regulatory, type II alpha",27677588
Mus musculus,mmu_circRNA_016806,chr17:64710703-64714712,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Man2a1,"mannosidase 2, alpha 1",27677588
Mus musculus,mmu_circRNA_016901,chr17:83221789-83222230,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)]; myocardial fibrosis [differential expression (diabetic mouse myocardium vs. control)],Pkdcc,"protein kinase domain containing, cytoplasmic",27677588;28412345
Mus musculus,mmu_circRNA_016983,chr14:50807650-50807760,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Rpph1,ribonuclease P RNA component H1,27677588
Mus musculus,mmu_circRNA_017115,chr11:103046378-103055289,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Nmt1,N-myristoyltransferase 1,27677588
Mus musculus,mmu_circRNA_017278,chr17:39844716-39844791,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Rn45s,45S pre-ribosomal RNA,27677588
Mus musculus,mmu_circRNA_017338,chr10:18092844-18094908,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Reps1,RalBP1 associated Eps domain containing protein,27677588
Mus musculus,mmu_circRNA_017352,chr13:48932296-48934078,Nonalcoholic steatohepatitis [differential expression (nonalcoholic steatohepatitis vs.control group)],Fam120a,"family with sequence similarity 120, member A",27677588
