Species,circRNA name,circAltas ID,Uniform ID,Strand,Host gene,Disease_Name,Expression Pattern,PMID,miRNA
human,hsa_circ_0000396,hsa-SLC38A1_0009,"circSLC38A1(2,3,4,5).1",-,SLC38A1,Rheumatoid arthritis,Downregulated,31596149,unknown
human,hsa_circ_0026070,unknown,unknown,-,ARF3,Encephalitis,Upregulated,32329660,unknown
human,hsa_circ_0026134,unknown,unknown,+,TUBA1C,Non-small cell lung cancer,Upregulated,30970529,unknown
human,hsa_circ_0026134,unknown,unknown,+,TUBA1C,Hepatocellular carcinoma,Downregulated&nbsp;,33230434,unknown
human,hsa_circ_0026134,unknown,unknown,+,TUBA1C,Ovarian cancer,Upregulated,31945729,unknown
human,hsa_circ_0026143,hsa-TROAP_0002,"circTROAP(9,10,11).1",+,TROAP,Ovarian endometriosis,Upregulated,29334789,unknown
human,hsa_circRNA_004582,hsa-RACGAP1_0007,"circRACGAP1(13,L14,15).1",unknown,RACGAP1,Gastric cancer,Upregulated,32139670,unknown
human,hsa_circ_0009035,hsa-RACGAP1_0007,"circRACGAP1(13,L14,15).1",-,RACGAP1,Cervical cancer,Upregulated,33782039,unknown
human,hsa_circ_0009035,hsa-RACGAP1_0007,"circRACGAP1(13,L14,15).1",-,RACGAP1,Type 2 diabetes mellitus,Upregulated,30066828,unknown
human,hsa_circ_0026231,unknown,unknown,+,LARP4,Esophageal cancer,Downregulated,31897898,unknown
human,circ_LARP4,hsa-LARP4_0025,"circLARP4(10,11).1",unknown,LARP4,Breast cancer,Downregulated,32187743,unknown
human,circ_LARP4,hsa-LARP4_0025,"circLARP4(10,11).1",+,LARP4,Gastric cancer,Downregulated,28893265,unknown
human,circ_LARP4,hsa-LARP4_0025,"circLARP4(10,11).1",unknown,LARP4,Hepatocellular carcinoma,Downregulated,30520539,unknown
human,circ_LARP4,hsa-LARP4_0025,"circLARP4(10,11).1",unknown,LARP4,Nasopharyngeal carcinoma,Downregulated,31799660,unknown
human,circ_-LARP4,hsa-LARP4_0025,"circLARP4(10,11).1",unknown,LARP4,Osteosarcoma,Downregulated,31642110,unknown
human,circ_LARP4,hsa-LARP4_0025,"circLARP4(10,11).1",unknown,LARP4,Ovarian cancer,Downregulated,31911757,unknown
human,circ_LARP4,hsa-LARP4_0025,"circLARP4(10,11).1",unknown,LARP4,Prostate cancer,Downregulated,32495863,unknown
human,hsa_circ_0026344,unknown,unknown,+,ACVRL1,Colorectal cancer,Downregulated,29928882,"miR-21, miR-31"
human,circNR4A1,unknown,unknown,+,NR4A1,Breast cancer,Downregulated,33325363,unknown
human,hsa_circ_0026353,unknown,unknown,+,NR4A1,Uterine leiomyoma,Downregulated,32976932,unknown
human,hsa_circ_0026359,unknown,unknown,+,KRT7,Gastric cancer,Upregulated,32855967,unknown
human,hsa_circ_0026372,unknown,unknown,-,KRT81,Diabetes retinopathy,Downregulated,29288268,unknown
human,hsa_circ_0026388,unknown,unknown,-,KRT75,Diabetes retinopathy,Downregulated,29288268,unknown
human,circKRT6A,hsa-intergenic_026673,circKRT6B(8L).1,unknown,KRT6A,Prostate cancer,Downregulated,30416748,unknown
human,circRNA9656,hsa-EIF4B_0001,"circEIF4B(L5,6).1",+,EIF4B,Esophageal cancer,Downregulated,29218114,unknown
human,hsa_circ_0026579,unknown,unknown,+,ESPL1,Pneumonia,Upregulated,31286543,unknown
human,hsa_circ_0002737,hsa-SARNP_0002,"circSARNP(4L,5,6,9).1",-,SARNP,Steroid-induced osteonecrosis of the femoral head,Upregulated,31827647,unknown
human,hsa_circ_0000408,hsa-TIMELESS_0002,"circTIMELESS(7,8,9).1",-,TIMELESS,Lung cancer,Upregulated,31960961,unknown
human,hsa_circ_0027068,unknown,unknown,-,ATP5B,Glioblastoma,Upregulated,33858489,unknown
human,hsa_circ_0027089,hsa-PTGES3_0003,"circPTGES3(5,6).1",-,PTGES3,Hepatocellular carcinoma,Upregulated,31535687,unknown
human,hsa_circ_0027345,unknown,unknown,-,LRIG3,Hepatocellular carcinoma,Upregulated,33222697,unknown
human,circRNA9658,unknown,unknown,+,XPOT,Esophageal cancer,Downregulated,29218114,unknown
human,hsa_circ_0098964,hsa-SRGAP1_0107,"circSRGAP1(10,11L).1",+,SRGAP1,Coronary artery disease,Upregulated,28045102,unknown
human,hsa_circ_0025129,unknown,unknown,-,TNFRSF1A,Hepatocellular carcinoma,Upregulated,30546088,unknown
human,circRNAIFF01,hsa-IFFO1_0001,"circIFFO1(6S,7).1",-,IFF01,PDLSC osteogenis,unknown,29197342,miR-106b
human,hsa_circ_0027446,hsa-HMGA2_0001,"circHMGA2(2,3).1",+,HMGA2,Abdominal aortic aneurysm,Downregulated,32039711,unknown
human,hsa_circ_0025202,unknown,unknown,+,GAPDH,Breast cancer,Downregulated,31153828,unknown
human,hsa_circ_0000375,hsa-IFFO1_0001,"circIFFO1(6S,7).1",-,IFFO1,Glioblastoma,Upregulated,33561315,unknown
human,hsa_circ_0005505,hsa-IRAK3_0001,"circIRAK3(2,3,4,5,6,7,8).1",+,IRAK3,Breast cancer,Upregulated,29803789,unknown
human,hsa_circ_0005505,hsa-IRAK3_0001,"circIRAK3(2,3,4,5,6,7,8).1",+,IRAK3,Hepatocellular carcinoma,Upregulated,30714679,unknown
human,hsa_circ_0000414/hsa_circ_001951,hsa-IRAK3_0002,"circIRAK3(2,3,4,5).1",+,IRAK3,Pulmonary tuberculosis,Downregulated,29248507,unknown
human,chr12:69044180–69048032,hsa-RAP1B_0001,"circRAP1B(3,4,5).1",unknown,unknown,Acute ischemic stroke,Downregulated,31502677,unknown
human,hsa_circ_0000419,hsa-RAB3IP_0013,"circRAB3IP(7,8).1",+,RAB3IP,Ovarian endometriosis,Downregulated,30566420,miR-141-5p
human,hsa_circ_0000419,hsa-RAB3IP_0013,"circRAB3IP(7,8).1",+,RAB3IP,Gastric cancer,Downregulated,31810586,unknown
human,hsa_circ_0000419,hsa-RAB3IP_0013,"circRAB3IP(7,8).1",+,RAB3IP,Osteosarcoma,Upregulated,30191736,unknown
human,hsa_circ_0099188,hsa-TRHDE_0035,circTRHDE(I002).2,+,TRHDE,Pneumonia,Upregulated,31286543,unknown
human,hsa_circ_0099198,hsa-TRHDE_0006,"circTRHDE(13,14,15).1",+,TRHDE,Retinoblastoma,Upregulated,33676964,unknown
human,hsa_circ_0027599,unknown,unknown,-,PHLDA1,Gastric cancer,Downregulated,30410722,unknown
human,hsa_circ_0008509,hsa-NAV3_0004,"circNAV3(2,3,4,9).1",+,NAV3,Colorectal cancer,Downregulated,28656150,unknown
human,hsa_circ_0000423,hsa-PPP1R12A_0157,circPPP1R12A(22L).2,-,PPP1R12A,Colon cancer,Upregulated,30925892,unknown
human,hsa_circ_0025367,unknown,unknown,-,MFAP5,Intervertebral disc degeneration,Upregulated,31056633,"miR-6850-3p, miR-516b-5p, miR-6870-3p, miR-3137, miR-1257"
human,hsa_circ_0002375,hsa-KITLG_0002,"circKITLG(2,3,4,5,6,7,8,9).1",-,KITLG,Nasopharyngeal carcinoma,Upregulated,32426279,unknown
human,hsa_circ_0000426,hsa-ATP2B1_0002,"circATP2B1(2,3).1",-,ATP2B1,Clear cell renal cell carcinoma,Downregulated,29490945,unknown
human,hsa_circ_0099476,hsa-WNK1_0009,"circWNK1(2,3).1",+,WNK1,Heart failure,Upregulated,32211036,unknown
human,chr12:94613792|94621011,hsa-PLXNC1_0011,"circPLXNC1(6,L7,8,L9).1",unknown,unknown,Acute ischemic stroke,Upregulated,31502677,unknown
human,hsa_circ_0000429,unknown,unknown,-,CCDC41,Non-small cell lung cancer,Upregulated,33542659,unknown
human,hsa_circ_0027821,hsa-RMST_0005,circ(chr12).408,unknown,unknown,Age-related cataract,Downregulated,29959922,unknown
human,hsa_circ_0025454,unknown,unknown,-,CD69,Pterygium,Downregulated,29949792,unknown
human,hsa_circRNA_101252,unknown,unknown,unknown,unknown,Nasopharyngeal carcinoma,Upregulated,32218863,unknown
human,hsa_circ_0030777,hsa-PCCA_0009,"circPCCA(20,21).1",+,PCCA,Alzheimer's disease,Downregulated,32315771,unknown
human,hsa_circ_0000502,hsa-TNFSF13B_0001,circ(chr13).50,+,unknown,Hepatocellular carcinoma,Upregulated,33230434,unknown
human,hsa_circ_0000502,hsa-TNFSF13B_0001,circ(chr13).50,unknown,unknown,Osteosarcoma,Upregulated,30525215,unknown
human,hsa_circ_0007099,hsa-TUBGCP3_0012,"circTUBGCP3(12,13,14,16,17,18,19).1",unknown,ABHD2,Gastric cancer,Downregulated,28544609,unknown
human,hsa_circ_0007031/hsa_circ_0000504,hsa-TUBGCP3_0012,"circTUBGCP3(12,13,14,16,17,18,19).1",-,TUBGCP3,Colorectal cancer,Upregulated,28656150,"miR-556-5p,hsa-miR-521,hsa-miR-1204,hsa-miR-146b-3p,hsa-miR-512-5p,hsa-miR-663b,hsa-miR-1258,hsa-miR-1233,hsa-miR-1296"
human,hsa_circ_0007031/hsa_circ_0000504,hsa-TUBGCP3_0012,"circTUBGCP3(12,13,14,16,17,18,19).1",-,TUBGCP3,Osteosarcoma,Upregulated,32440142,unknown
human,hsa_circ_0000504/hsa_circ_001373,hsa-TUBGCP3_0001,"circTUBGCP3(12,13,14,15,16,17).1",-,TUBGCP3,Colorectal cancer,Upregulated,28656150,unknown
human,circRNA378,hsa-LAMP1_0005,circLAMP1(3).1,+,LAMP1,Esophageal cancer,Downregulated,29218114,unknown
human,hsa_circ_0030979,unknown,unknown,+,F10,Uterine leiomyoma,Downregulated,32976932,unknown
human,hsa_circ_0030998,hsa-LAMP1_0005,circLAMP1(3).1,+,LAMP1,Cholangiocarcinoma,Upregulated,33675150,unknown
human,hsa_circRNA_101303,hsa-LAMP1_0005,circLAMP1(3).1,unknown,LAMP1,T-cell lymphoblastic lymphoma,Upregulated,30922709,unknown
human,hsa_circ_0030998,hsa-LAMP1_0005,circLAMP1(3).1,+,LAMP1,Lung cancer,Downregulated,33190405,unknown
human,hsa_circRNA_101308,hsa-TMCO3_0008,"circTMCO3(7,8,S9,10).1",+,TMCO3,Gastric cancer,unknown,28206972,unknown
human,hsa_circ_0029601,unknown,unknown,-,TPTE2,Preeclampsia,Upregulated,26846540,unknown
human,hsa_circ_0029633,hsa-ZMYM2_0022,"circZMYM2(13,14,15,16,17,18,19,20,21).1",+,ZMYM2,Idiopathic pulmonary fibrosis,Downregulated,30272257,hsa_miR-326
human,hsa_circ_0099999,hsa-ZMYM2_0039,"circZMYM2(16,19).1",+,ZMYM2,Pancreatic cancer,Upregulated,30537731,unknown
human,hsa_circ_0029696,hsa-SKA3_0007,"circSKA3(2,3,4S,5).1",-,SKA3,Medulloblastoma,Upregulated,33408514,unknown
human,hsa_circ_0029696,hsa-SKA3_0007,"circSKA3(2,3,4S,5).1",-,SKA3,Heart failure,Upregulated,32211036,unknown
human,hsa_circ_0000467,hsa-SKA3_0001,circSKA3(4).1,-,SKA3,Colorectal cancer,Upregulated,33685351,unknown
human,hsa_circ_0000467,hsa-SKA3_0001,circSKA3(4).1,-,SKA3,Gastric cancer,Upregulated,30461077,unknown
human,hsa_circ_0006732,hsa-ZDHHC20_0023,"circZDHHC20(2,3,4).1",-,ZDHHC20,Preeclampsia,Upregulated,31956297,unknown
human,hsa_circ_0005198,hsa-PARP4_0010,"circPARP4(2,3,4,5,6).1",-,PARP4,Glioblastoma,Upregulated,31038801,unknown
human,hsa_circ_0100129,hsa-ATP8A2_0110,circATP8A2(L14).1,+,ATP8A2,Cervical cancer,Upregulated,31029604,unknown
human,hsa_circRNA_101237,hsa-CDK8_0004,"circCDK8(10,L11,12).1",unknown,CDK8,Hepatocellular carcinoma,Upregulated,32226487,unknown
human,hsa_circ_0003489,hsa-CDK8_0004,"circCDK8(10,L11,12).1",+,CDK8,Multiple myeloma,Downregulated,33625798,unknown
human,hsa_circRNA_101237,hsa-CDK8_0004,"circCDK8(10,L11,12).1",unknown,unknown,Non-small cell lung cancer,Downregulated,32494004,unknown
human,hsa_circ_0004372,hsa-PAN3_0025,"circPAN3(2,3,4).1",+,PAN3,Thoracic aortic dissection,Upregulated,29137225,"miR-873-5p,miR-23b-5p,miR-181a-2-3p,miR-93-3p,miR-29-3p"
human,hsa_circ_0100181,hsa-PAN3_0013,"circPAN3(7,8,9,12).1",+,PAN3,Acute myeloid leukemia,Upregulated,30395908,unknown
human,hsa_circ_0029853,hsa-PAN3_0005,"circPAN3(7,8,9,14,15,16,17).1",+,PAN3,Idiopathic pulmonary fibrosis,Downregulated,30272257,"hsa_miR-21-3p, hsa_miR-338-3p"
human,hsa_circ_0008068,hsa-KATNAL1_0005,"circKATNAL1(2,3,5,6,7,8,9).1",-,KATNAL1,Oral squamous cell carcinoma,Upregulated,29991057,unknown
human,hsa_circ_0100213,hsa-USPL1_0035,circUSPL1(L2).1,+,USPL1,Breast cancer,Upregulated,30979827,unknown
human,hsa_circ_0000471,hsa-N4BP2L2_0001,"circN4BP2L2(3,4,5S,S6).2",-,N4BP2L2,Ovarian cancer,Downregulated,30272264,unknown
human,hsa_circ_0029965,unknown,unknown,unknown,unknown,Active pulmonary tuberculosis,unknown,unknown,unknown
human,hsa_circ_0100338,hsa-NBEA_0169,"circNBEA(19,20,30).1",+,NBEA,Hepatocellular carcinoma,Upregulated,32281302,unknown
human,hsa_circ_0100338,hsa-NBEA_0169,"circNBEA(19,20,30).1",+,NBEA,Ischemia reperfusion injury,Downregulated,32572929,unknown
human,hsa_circ_0030018,unknown,unknown,-,POSTN,Glioblastoma,Upregulated,31081163,unknown
human,hsa_circ_0030018,unknown,unknown,-,POSTN,Myocardial injury,Upregulated,33681183,unknown
human,hsa_circ_0030018,unknown,unknown,-,POSTN,Esophageal cancer,Upregulated,31736156,unknown
human,hsa_circ_0030042,hsa-FOXO1_0006,circFOXO1(2).1,-,FOXO1,Coronary heart disease,Downregulated,32043895,unknown
human,hsa_circ_0030045,hsa-SLC25A15_0001,circSLC25A15(2L).1,+,SLC25A15,Tuberculosis,Upregulated,29057952,"miR-650, miR-605-3p, miR-876-5p, miR-526b-5p, miR-569"
human,hsa_circ_0030055,hsa-MTRF1_0022,circMTRF1(9L).2,-,MTRF1,Diabetes retinopathy,Downregulated,29288268,unknown
human,hsa_circ_0000479,hsa-EPSTI1_0003,"circEPSTI1(2,3,4,5,6S).1",-,EPSTI1,Triple negative breast cancer,Upregulated,30083277,unknown
human,hsa_circ_0000479,hsa-EPSTI1_0003,"circEPSTI1(2,3,4,5,6S).1",-,EPSTI1,Systemic lupus erythematosus,Upregulated,32093518,unknown
human,hsa_circ_0100587,hsa-SLC25A30_0010,"circSLC25A30(2,3).1",-,SLC25A30,Chronic hepatitis B,Downregulated,29888838,unknown
human,hsa_circ_0030235,hsa-RCBTB2_0007,"circRCBTB2(11,12).1",unknown,RCBTB2,Pancreatic cancer,Upregulated,30591218,unknown
human,hsa_circ_0000488,unknown,unknown,-,DLEU2,Acute myeloid leukemia,Upregulated,30037980,hsa-miR-496
human,hsa_circ_100721,hsa-ATP7B_0048,"circATP7B(5,6,7,8,9,10,11,12,13,14,15,16,17,18,19).1",-,ATP7B,Thyroid cancer,Upregulated,32584497,unknown
human,hsa_circ_0100759,hsa-DIAPH3_0054,circDIAPH3(20L).1,-,DIAPH3,Acute myeloid leukemia,Upregulated,30395908,unknown
human,circ_2137,hsa-LINC00355_0002,circ(chr13).414,-,AK057471,Osteosarcoma,Upregulated,31036604,unknown
human,hsa_circ_0100783,unknown,unknown,-,PCDH9,Immunosenescence,unknown,26945092,unknown
human,hsa_circ_0008259,hsa-LMO7_0001,"circLMO7(2,3,4).1",+,LMO7,Gastric cancer,Upregulated,33397440,unknown
human,hsa_circ_0008259,hsa-LMO7_0001,"circLMO7(2,3,4).1",+,LMO7,Keloid,Downregulated,31904383,unknown
human,hsa_circ_0000495,hsa-MYCBP2_0001,circMYCBP2(53L).1,-,MYCBP2,Head and neck squamous cell carcinoma,Upregulated,32231744,unknown
human,hsa_circ_0100891,hsa-MYCBP2_0123,"circMYCBP2(45,46,49).1",-,MYCBP2,Acute myeloid leukemia,Upregulated,30395908,unknown
human,hsa_circ_0030507,hsa-MYCBP2_0009,"circMYCBP2(22,23,24,26).1",-,MYCBP2,Oral mucosal melanoma,Downregulated,30323971,unknown
human,hsa_circ_0100929,hsa-SLAIN1_0009,circSLAIN1(2L).1,+,SLAIN1,Hepatocellular carcinoma,Upregulated,30302825,unknown
human,hsa_circ_0100989,hsa-GPC5_0001,"circGPC5(S4,5).1",+,GPC5,Acute myeloid leukemia,Upregulated,30395908,unknown
human,hsa_circ_0030569,hsa-ABCC4_0009,"circABCC4(21,22,23,24,25,26,28,29,30).1",-,ABCC4,Tuberculosis,Downregulated,29057952,"miR-30d-3p, miR-29a-5p, miR-584-3p, miR-30a-3p, miR-30e-3p"
human,hsa_circ_0030586,hsa-ABCC4_0070,"circABCC4(10,11,12,13,14,15,16,17,18,19).1",-,ABCC4,Prostate cancer,Upregulated,31270953,unknown
human,hsa_circ_0006318,hsa-ABCC4_0008,"circABCC4(5,6,7,8).1",-,ABCC4,Osteosarcoma,Downregulated,30191736,unknown
human,hsa_circ_0030605,unknown,unknown,-,ABCC4,Bronchopulmonary dysplasia,Upregulated,33195232,unknown
human,hsa_circ_0008274,hsa-UGGT2_0007,"circUGGT2(37,38).1",-,UGGT2,Hepatocellular carcinoma,Upregulated&nbsp;,33116877,unknown
human,hsa_circ_0008274,hsa-UGGT2_0007,"circUGGT2(37,38).1",-,UGGT2,Cholangiocarcinoma,Upregulated,33221765,unknown
human,hsa_circ_0008274,hsa-UGGT2_0007,"circUGGT2(37,38).1",-,UGGT2,Lung cancer,Downregulated,32308427,unknown
human,hsa_circ_0008274,hsa-UGGT2_0007,"circUGGT2(37,38).1",-,UGGT2,Papillary thyroid carcinoma,Upregulated,33473055,unknown
human,hsa_circ_0030632,hsa-UGGT2_0006,"circUGGT2(L6,7,8,9,10).1",-,UGGT2,Colorectal cancer,Upregulated,32115780,unknown
human,hsa_circ_0101113,hsa-FARP1_0033,"circFARP1(7,9,12,13).1",+,FARP1,Acute myeloid leukemia,Upregulated,30395908,unknown
human,circ_STK24,hsa-STK24_0004,circSTK24(L2).1,-,STK24,Temporal Lobe Epilepsy,unknown,29428937,unknown
human,hsa_circ_0101145,hsa-DOCK9_0008,"circDOCK9(5,6,7).1",-,DOCK9,Hepatocellular carcinoma,Upregulated,32554866,unknown
human,circRNA17433,unknown,unknown,unknown,unknown,Preeclampsia,Downregulated,33202359,unknown
human,hsa_circ_0033155,hsa-EML1_0001,"circEML1(2,3).1",+,EML1,Non-small cell lung cancer,Downregulated,30214545,unknown
human,hsa_circ_0101187,hsa-YY1_0001,circYY1(2).1,+,YY1,Breast cancer,Upregulated,33603460,unknown
human,circRNA3341,unknown,unknown,-,HSP90AA1,Esophageal cancer,Downregulated,29218114,unknown
human,hsa_circ_0002060,hsa-DYNC1H1_0003,"circDYNC1H1(6,7).1",+,DYNC1H1,Osteoporosis,Upregulated,31056800,unknown
human,hsa_circ_000595,unknown,unknown,+,DYNC1H1,Breast cancer,Upregulated,27829232,unknown
human,hsa_circ_0033349,unknown,unknown,+,DYNC1H1,Nonfunctioning pituitary adenomas,Downregulated,29909209,unknown
human,hsa_circ_0033351,unknown,unknown,+,DYNC1H1,Hepatocellular carcinoma,Upregulated,30864145,unknown
human,hsa_circ_0101308,hsa-CINP_0002,circ(chr14).49,-,,Cervical cancer,Downregulated,32606970,"miR-26a-5p, miR-196a-5p, miR-196b-5p, miR-335-3p, and miR-1307-3p"
human,hsa_circ_0033550,unknown,unknown,-,AKT1,Cervical cancer,Upregulated,32193155,unknown
human,hsa_circ_0033988,unknown,unknown,-,LINC00221,Laryngeal cancer,Downregulated,30128795,unknown
human,hsa_circ_0000511,hsa-RPPH1_0018,circ(chr14).3725,-,RPPH1,Breast cancer,Upregulated,33649821,unknown
human,hsa_circ_0000512,hsa-RPPH1_0005,circ(chr14).374,-,RPPH1,Colorectal cancer,Upregulated&nbsp;,32821119,unknown
human,hsa_circ_0000512,hsa-RPPH1_0005,circ(chr14).374,-,RPPH1,Prostate cancer,Downregulated,30416748,unknown
human,hsa_circ_0000515,unknown,unknown,-,RPPH1,Breast cancer,Upregulated,32446265,unknown
human,hsa_circ_0000515,unknown,unknown,-,RPPH1,Cervical cancer,Upregulated,31772143,unknown
human,hsa_circ_0101432,unknown,unknown,-,RPPH1,Hepatocellular carcinoma,Upregulated,31095447,unknown
human,hsa_circ_0000516,chr14:20343239|20343324,unknown,+,RPPH1,Papillary thyroid carcinoma,Upregulated,28288173,"hsa-miR-18b-3p, hsa-miR-670-5p, hsa-miR-23a-5p, hsa-miR-125a-3p, hsa-miR-125b-5p"
human,hsa_circ_0000517,unknown,unknown,-,RPPH1,Multiple sclerosis,Downregulated,28651352,unknown
human,hsa_circ_0000517,unknown,unknown,-,RPPH1,Hepatocellular carcinoma,Upregulated,31750237,miR-326
human,hsa_circ_0000518,unknown,unknown,-,RPPH1,Esophageal cancer,Downregulated,27465405,unknown
human,hsa_circ_0000517,unknown,unknown,-,RPPH1,Pancreatic cancer,Downregulated,29620241,unknown
human,hsa_circ_0000517,unknown,unknown,unknown,RPPH1,radioresistant esophageal cancer cells,Downregulated,27465405/28651350,"miR-181a-2*,miR-521,miR-556-5p,miR-512-5p,miR-663b,miR-1204"
human,hsa_circ_002178,unknown,unknown,unknown,RPPH1,Lung cancer,Upregulated,31949130,unknown
human,hsa_circ_0000519,unknown,unknown,-,RPPH1,Multiple sclerosis,Downregulated,28651352,unknown
human,hsa_circ_0000520/hsa_circ_001846,unknown,unknown,-,RPPH1,Gastric cancer,Downregulated,28651352,"miR-556-5p, hsa-miR-521, hsa-miR-1204, hsa-miR-146b-3p, hsa-miR-512-5p, hsa-miR-663b, hsa-miR-1258, hsa-miR-1233, hsa-miR-1296"
human,hsa_circ_0000520/hsa_circ_001846,unknown,unknown,-,RPPH1,Multiple sclerosis,Downregulated,28651352,unknown
human,hsa_circ_0000520,unknown,unknown,-,RPPH1,Breast cancer,Upregulated,32002039,unknown
human,hsa_circ_0000522,hsa-METTL3_0002,"circMETTL3(2,2,RI,3).1",-,METTL3,Colorectal cancer,Downregulated,25624062,unknown
human,hsa_circ_101319,hsa-RBM23_0007,"circRBM23(2,3).1",-,RBM23,Idiopathic membranous nephropathy,Upregulated,31545426,unknown
human,hsa_circ_0031242,unknown,unknown,-,PRMT5,Hepatocellular carcinoma,Upregulated,32089501,unknown
human,hsa_circ_0031250,hsa-PRMT5_0002,"circPRMT5(5,6,7).1",-,PRMT5,Non-small cell lung cancer,Upregulated,31479715,"miR-377, miR-382, miR-498,miR-873-5p"
human,hsa_circ_0031250,hsa-PRMT5_0002,"circPRMT5(5,6,7).1",unknown,PRMT5,Bladder cancer,Upregulated,30305293,unknown
human,hsa_circ_0031250,hsa-PRMT5_0002,"circPRMT5(5,6,7).1",unknown,PRMT5,Gastric cancer,Upregulated,31701767,unknown
human,hsa_circ_0031258,hsa-HAUS4_0005,"circHAUS4(3,RI,4,9).1",-,HAUS4,Alzheimer's disease,Downregulated,32315771,unknown
human,hsa_circ_0031288/circPABPN1,hsa-PABPN1_0001,circPABPN1(6).1,+,PABPN1,Cervical cancer,Upregulated,28080204,unknown
human,hsa_circ_0000527,unknown,unknown,-,FAM158A,Retinoblastoma,Upregulated,33629639,unknown
human,hsa_circ_0007750,hsa-RABGGTA_0001,"circRABGGTA(10,11,12,15,16).1",-,RABGGTA,Hepatocellular carcinoma,Upregulated,31456215,unknown
human,circ_ARHGAP5,hsa-ARHGAP5_0003,circARHGAP5(S2).1,+,ARHGAP5,Colon cancer,Downregulated,27119352,unknown
human,circ_ARHGAP5,hsa-ARHGAP5_0003,circARHGAP5(S2).1,+,ARHGAP5,Epithelial ovarian cancer,unknown,27119352,unknown
human,hsa_circ_0101692,hsa-EGLN3_0002,"circEGLN3(2,3,4,S5).1",-,EGLN3,Clear cell renal cell carcinoma,Upregulated,31575051,unknown
human,hsa_circ_0101692,hsa-EGLN3_0002,"circEGLN3(2,3,4,S5).1",-,EGLN3,Pancreatic cancer,Upregulated,31605569,unknown
human,hsa_circ_0031594,hsa-EGLN3_0001,"circEGLN3(2,3).1",-,EGLN3,Clear cell renal cell carcinoma,Upregulated,33408523,unknown
human,hsa_circ_0005836,hsa-TRAPPC6B_0005,"circTRAPPC6B(3,4).1",-,TRAPPC6B,Active pulmonary tuberculosis,Downregulated,28846924,unknown
human,hsa_circ_0101802,hsa-PNN_0002,"circPNN(RI,7,8).1",+,PNN,Colorectal cancer,Upregulated,32626660,"hsa-miR-6833-3p, hsa-let-7i-3p, hsa-miR-1301-3p"
human,hsa_circ_0101868,hsa-PRPF39_0002,circPRPF39(L5).1,+,PRPF39,Acute myeloid leukemia,Upregulated,30395908,unknown
human,hsa_circ_101882,hsa-FANCM_0002,"circFANCM(7,8,9).1",unknown,unknown,Gastric cancer,Upregulated,31420917,unknown
human,hsa_circ_0102049,hsa-ATL1_0003,"circATL1(7,8).1",unknown,ATL1,Osteosarcoma,Upregulated,31727503,unknown
human,hsa_circ_0008945,hsa-NIN_0025,"circNIN(23,L24,25).1",-,NIN,Breast cancer,Upregulated,28744405,unknown
human,hsa_circRNA_537,hsa-ERO1A_0024,"circERO1A(2,3,4).1",-,ERO1L,Breast cancer,unknown,26472973,unknown
human,hsa_circ_0031978,hsa-CDKN3_0007,"circCDKN3(4,5,6).1",+,CDKN3,Pterygium,Upregulated,29949792,unknown
human,hsa_circ_0031979,unknown,unknown,+,CDKN3,Gastric cancer,Downregulated,28639908,unknown
human,hsa_circ_0004846,hsa-SAMD4A_0001,circSAMD4A(3).1,+,SAMD4A,Obesity,Upregulated,32292524,unknown
human,hsa_circ_0004846,hsa-SAMD4A_0001,circSAMD4A(3).1,+,SAMD4A,Osteosarcoma,Upregulated,31200957,unknown
human,hsa_circ_0004846,hsa-SAMD4A_0001,circSAMD4A(3).1,+,SAMD4A,Papillary thyroid carcinoma,Upregulated,28288173,unknown
human,hsa_circ_0102231,hsa-KIAA0586_0015,"circKIAA0586(11,12,13,S17,18,19,22).1",+,KIAA0586,Non-small cell lung cancer,Upregulated,33084863,unknown
human,hsa_circ_0102272,hsa-RTN1_0024,circRTN1(I008).3,-,RTN1,Breast cancer,Upregulated,30979827,unknown
human,hsa_circ_0102272,hsa-RTN1_0024,circRTN1(I008).3,-,RTN1,Thyroid cancer,Upregulated,32367651,unknown
human,hsa_circ_0102273,unknown,unknown,+,TCONS_l2_00007750,Breast cancer,Upregulated,30979827,unknown
human,hsa_circ_0032131,hsa-PRKCH_0006,"circPRKCH(11,12).1",+,PRKCH,Osteoarthritis,Upregulated,31526191,unknown
human,hsa_circ_0006393,hsa-HIF1A_0002,"circHIF1A(2,3,4).1",+,HIF1A,Osteogenesis,Downregulated,31322188,unknown
human,hsa_circ_0004623,hsa-HIF1A_0001,"circHIF1A(2S,3,4,5,6).1",+,HIF1A,Triple negative breast cancer,Upregulated,33714984,unknown
human,hsa_circ_0007976,hsa-HIF1A_0009,"circHIF1A(RI,3,4).1",+,HIF1A,Tongue squamous cell carcinoma,Upregulated,30269358,unknown
human,hsa_circ_0032148,hsa-KCNH5_0001,"circKCNH5(2,3,4,5,6).1",-,KCNH5,Uveal melanoma,Downregulated,30700934,hsa-miR-181d-3p hsa-miR-197-3p hsa-miR-197-5p
human,hsa_circ_0003028,hsa-FUT8_0001,circFUT8(3).1,+,FUT8,Bladder cancer,Downregulated,32072011,unknown
human,hsa_circ_0003028,hsa-FUT8_0001,circFUT8(3).1,+,FUT8,Liver cancer,Upregulated,28727484,unknown
human,hsa_circ_0102446,hsa-GPHN_0016,"circGPHN(6,7,8L).1",+,GPHN,Acute myeloid leukemia,Upregulated,30395908,unknown
